model_name,sentiment_mae,sentiment_rmse,relevance_f1,fit_f1,size_f1,comfort_f1,material_f1,quality_f1,type_f1,color_f1,mean_binary_f1
SimpleRNN,15.9649,25.5689,0.9926,0.8828,0.9829,0.8678,0.484,0.412,0.871,0.4266,0.74
GRU,11.3279,20.5442,0.9979,0.9991,1.0,0.992,0.9993,0.995,0.9998,0.9996,0.9978
LSTM,12.7911,23.2713,0.9961,0.9969,0.9997,0.9949,0.9978,0.7988,0.8836,0.9973,0.9582
